Company,Location,Date,Total,Litres,Price_pL
Euro Mead,Ruislip Road,12/10/2019,29.19,23,1.269
Euro Mead,Ruislip Road,20/10/2019,31,,
Euro Mead,Ruislip Road,28/10/2019,21.01,16.56,1.269
Tesco,Manchester,29/10/2019,21.25,17.43,1.219
Shell,Hanwell,01/11/2019,35,28.02,1.249
Tesco Express,Chalfont,06/11/2019,25.49,20.09,1.269
Shell,Hanwell,18/11/2019,42.14,33.47,1.259
Tesco Express,Chalfont,25/11/2019,24.06,18.81,1.279
Shell,Hanwell,02/12/2019,33.36,26.5,1.259
Tesco Express,Chalfont,09/12/2019,34.28,27.23,1.259
Euro Mead,Ruislip Road,09/12/2019,19.1,14.93,1.279
Euro Mead,Ruislip Road,13/12/2019,19.17,15.11,1.269
Tesco,Nottingham,15/12/2019,19.86,16.03,1.239
Tesco Express,Chalfont,17/12/2019,20.18,15.78,1.279
,,,3611.52,,
